,Month,Initial_Page,Results_Page,Profile_Page,Checkout,Order_Placed,Country,Platform
0,1,509580,258150,146760,48900,45450,Brasil,Web
1,2,429180,250530,138750,45390,41940,Brasil,Web
2,3,522240,304320,169440,54660,50880,Brasil,Web
3,4,526440,320340,183570,57930,54120,Brasil,Web
4,5,515520,320520,178230,54480,50910,Brasil,Web
5,6,417270,242130,130590,39690,36900,Brasil,Web
6,7,415140,228720,117390,32640,29760,Brasil,Web
7,8,288690,161430,84150,23880,21630,Brasil,Web
8,1,394080,273060,216750,124410,122640,Argentina,Web
9,2,400230,274470,218820,127740,125430,Argentina,Web
10,3,592950,404490,319920,166380,162960,Argentina,Web
11,4,544050,387660,310020,171090,168060,Argentina,Web
12,5,570930,416940,326190,175830,172380,Argentina,Web
13,6,427560,290820,223860,115890,113820,Argentina,Web
14,7,389760,259410,198480,99870,97500,Argentina,Web
15,8,265290,170370,128280,64350,62040,Argentina,Web
16,1,241500,122460,61230,10920,9690,Brasil,Web Mobile
17,2,226740,122280,63480,10800,9450,Brasil,Web Mobile
18,3,309450,169110,89070,15180,13530,Brasil,Web Mobile
19,4,508560,285990,147390,20310,17850,Brasil,Web Mobile
20,5,578010,334860,167220,23880,20460,Brasil,Web Mobile
21,6,289800,159180,80610,12840,11130,Brasil,Web Mobile
22,7,228720,123600,61230,8580,7560,Brasil,Web Mobile
23,8,139650,74250,34320,5220,4650,Brasil,Web Mobile
24,1,260940,251490,217680,146700,137430,Argentina,Android
25,2,264330,254820,221850,149820,141660,Argentina,Android
26,3,366150,354450,297420,183240,173010,Argentina,Android
27,4,455010,438660,369600,229560,214290,Argentina,Android
28,5,481110,462030,394620,230040,215820,Argentina,Android
29,6,305040,285660,228630,130560,122070,Argentina,Android
30,7,241050,228030,178080,98700,92250,Argentina,Android
31,8,162990,150600,114300,62490,57810,Argentina,Android
32,1,144930,83790,59130,22650,21900,Argentina,Web Mobile
33,2,147660,85800,60420,23520,23010,Argentina,Web Mobile
34,3,213660,118350,83010,30120,28860,Argentina,Web Mobile
35,4,290940,169110,114330,37890,36720,Argentina,Web Mobile
36,5,336060,200760,134400,42660,40680,Argentina,Web Mobile
37,6,185220,104340,69180,22530,21420,Argentina,Web Mobile
38,7,139560,75990,50490,17490,16530,Argentina,Web Mobile
39,8,87690,45810,30060,9570,8850,Argentina,Web Mobile
40,1,181800,174840,155130,109920,109170,Argentina,iPhone
41,2,181500,174570,155790,106020,105060,Argentina,iPhone
42,3,261630,251700,218910,141000,139110,Argentina,iPhone
43,4,342210,324090,264450,165450,163590,Argentina,iPhone
44,5,342360,329010,282720,168570,165870,Argentina,iPhone
45,6,198120,188820,159090,93000,91710,Argentina,iPhone
46,7,162810,154440,126870,72900,71580,Argentina,iPhone
47,8,105000,98520,77910,42390,41460,Argentina,iPhone
48,1,147420,142920,116610,60030,49680,Brasil,Android
49,2,145800,139470,112470,58800,47940,Brasil,Android
50,3,185670,178500,145800,77580,63900,Brasil,Android
51,4,255960,245220,200400,96240,75780,Brasil,Android
52,5,273900,262470,207270,93840,74070,Brasil,Android
53,6,162750,152820,113820,51810,41760,Brasil,Android
54,7,138210,128370,95040,41370,35670,Brasil,Android
55,8,90420,83520,58110,24270,21240,Brasil,Android
56,1,103680,72960,46920,16470,15750,Chile,Web
57,2,124410,84990,53550,17130,16170,Chile,Web
58,3,155280,104310,65490,20820,20070,Chile,Web
59,4,169350,120720,82680,28740,27240,Chile,Web
60,5,184980,134400,89400,29820,27870,Chile,Web
61,6,130350,84990,52260,15960,14970,Chile,Web
62,7,102510,63630,36870,11880,11250,Chile,Web
63,8,69420,43260,23730,6900,6420,Chile,Web
64,1,111420,80970,73290,51720,51330,Uruguay,Web
